kings	Karalis.
skūna	Šķūnis.
ģieza	Cilvēks, kas daudz krāpj un stāstot melo.
mīņus	Neskaidra, neizkopta vieta.
deķis	Deks (kuģa klājs).
sāņuš	Sāņus.
jukas	Agavju dzimtas ģints ("Yucca"), mūžzaļi krāšņumaugi, 35 sugas, dažas sugas kultivē arī kā šķiedraugus, citas tiek izplatītas kā telpaugi.
bults	Durvju aizšaujaumais.
eliņš	Krasta ierīce ar slīpu pamatu (stāpeli) kuģu būvēšanai.
kņaps	Nepietiekami liels (par apģērbu, apaviem).
ciens	Cieņa, gods, uzmanība.
cēdrs	Sasmacis.
etils	Organisks radikālis C2H5 - etilgrupa.
kyrie	Viena no mesas daļām; ietilpst arī rekviēmā.
špiga	Kāds, kas noklausās, ko citi runā un pēc tam sagrozītu stāsta citiem.
spīrs	Kārts laivas virzīšanai uz priekšu tur, kur nevar airēt.
žanis	Tualete.
atdoš	Atmaksa; uz parāda paņemta labība, maize u. c.
šķēne	Ratu un ragavu apkalums.
grēms	Grēmas.
poņķa	Neizdevies pinums.
kubls	Liels konusveida, arī cilindrveida koka trauks, parasti ar vāku.
ģīgas	Ģīga - sens, vijolei līdzīgs mūzikas instruments.
durbe	Durba.
umzis	Pārpurvojusies vieta.
ņūžga	Neizveicīgs cilvēks.
finna	Pūšļveida formas kāpurs (lenteņiem).
dupes	Vēžu alas.
noēma	Huserla fenomenoloģiskajā mācībā - reāls vai nereāls domas vai pārdzīvojuma objekts (tas, ko šī doma vai pārdzīvojums izteic).
ķempa	Kaudze, mudžeklis, jukas.
bukse	Kapmirte ("Vinca").
šotte	Starpsiena.
žurks	Žurka.
knapa	Savienojumos "knipa knapa" un "knipu knapu" lieto, lai atdarinātu biežu soļu skaņas.
žubre	Žubīte.
šļure	Izlaidīga sieviete.
āļava	Alveja.
groka	Groks.
drāma	Viens no daiļliteratūras veidiem (blakus epikai un lirikai), kam raksturīgi daiļdarbi, kuri rakstīti personu sarunu vai monologu formā bez autora stāstījuma.
ritms	Vienmērīga (procesu, parādību) secība, atkārtošanās (laikā vai telpā).
kross	Elektrosakaros, telefona (telegrāfa) centrāļu iekārta līnijas vadu un centrāles vadu savienošanai; arī telpa, kurā izvietota šī iekārta.
klapš	Lieto (parasti savienojumā ar "klipš"), lai atdarinātu troksni, kas rodas, kuļot ar spriguli.
malus	Ābeles.
jeķis	Ģeķis.
pekse	Kulšana ar spriguli (rijā).
čūčis	Cūka līdz gada vecumam, suķis.
kārna	Veca, nepatīkama, kalsna sieviete.
plene	Plosta daļa, posms, parasti viena baļķa garumā.
ozēna	Hroniska deguna slimība, kam raksturīga gļotādas atrofija, strutaini izdalījumi ar krevelēm un pretīga smaka.
boģis	Kūtrs, muļķīgs, arī neapķērīgs, neattapīgs zēns, puisis.
šļama	Šļampa; kāds, kurš bez apetītes ēd, izrakņājot labākos kumosus no ēdiena.
tante	Tēvamāsa vai mātesmāsa; tēvabrāļa vai mātesbrāļa sieva.
ūķīgs	Tāds, kas nemitīgi strādā, darbojas, liekot arī citiem tāpat strādāt, darboties; arī tāds, kas mēdz izkalpināt.
nārba	Lupata, skranda.
valda	Iecirknis.
opoka	Viegls, sīkporains nogulumiezis, kas sastāv no silīcija dioksīda (opāla); izmanto cementa rūpniecībā un adsorbentiem.
nakra	Sens timpānam līdzīgs krievu mūzikas instruments.
tosma	Nojauta.
grapa	Stiprs alkoholiskais dzēriens, ko tradicionāli ražo Itālijā, gatavo no spiedpaliekām - tā, kas paliek pāri pēc vīnogu izspiešanas (kauliņi, mizas, kātiņi).
žvakš	Žvaks.
sirte	Smilšu saskalojums jūrā, kuģiniekiem bīstama vieta, sevišķi Ziemeļāfrikas piekrastē.
brāgs	Brāga - pārpalikumi (biezumi), kas rodas spirta vai alus ražošanas procesā; izmanto arī kā lopbarību.
driķe	Druka; rakstība.
jakte	Medības.
neons	Ķīmiskais elements - cēlgāze, periodiskās sistēmas 10. elements, Ne, atommasa - 20,183, zināmi 7 izotopi, no kuriem 3 ir stabili.
valis	Valnis.
drāga	Peldoša ierīce, ko lieto derīgo izrakteņu mehanizētai iegūšanai; draga (1).
peršs	Gara kārts, ko izmanto, izpildot akrobātiskus vingrojumus.
arils	Sēklsedze - sulīgs izaugums ap sēklu.
īlēns	Īlens.
brīns	Izbrīns.
plere	Ākstīga, nenopietna sieviete.
zosne	Sprādzes mēlīte.
cembe	Cemme, dzintele, kāsis 1(1).
īveņa	Parastā ieva ("Padus racemosa").
alots	Avots.
capra	Kazas.
ķimpe	Koka piepe.
brāma	Caurvējš.
plēbs	Plebeji.
rātns	Tāds, kas nedara palaidnības, tāds, kas ir paklausīgs (parasti par bērnu); tāds, kas izturas mierīgi, klusu.
vezis	Grozs, trauks, ciba.
ļukta	Apaļš vai taisnstūrveida dūmvada ejas aizvāžamais, aizliekamais.
rieča	Govs vārds.
grīļa	Tāds, kas līgojas.
dinga	Augs; audzelīga vieta.
lokns	Lokans.
itene	Šejiene.
šlifs	Plāna, pulēta minerāla, ieža plāksne, kas ir paredzēta mikroskopiskai izpētei.
žurka	Peļu dzimtas ģints ("Rattus"), grauzējs ar retu, parasti dzeltenīgi pelēku vai brūngani melnu, apmatojumu, smailu purnu un garu asti, >100 sugu, Latvijā konstatētas 2 s.
ješka	Nelielas kamanas, arī ragavas.
rusks	Rūsgans.
vārne	Vārna.
riķis	No egļu zariem pīts žogs starp 3 guleniski noliktām kārtīm.
dvese	Grūta, smaga elpa.
gorza	Tas, kas dīki sauļojas.
lūkns	Zāļu vai matu cekuls ar visām saknēm.
kedra	Skujkoks, kura dažas sugas nes ēdamus riekstus.
maula	Riteņa caurā, asij uzmaucamā vidus daļa, kurā iestiprināti spieķi; ratu rumba.
šlīme	Gļotas.
pērle	Neliela, no apses vai liepas stumbra darināta laiva.
prāva	Tiesas process.
ļerba	Pļāpa, melša.
ozuls	Parastais ozols ("Quercus robur").
klājs	Horizontāls vienlaidu segums (kuģa vai jahtas korpusā).
žiršs	Kazahu tautas dziesminieks.
elmsa	Elmsa uguns - elektriska gaisma, parādība, kas dažreiz redzama augstu, smailu priekšmetu galos, kā torņu, mastu utt.
mokka	Moka.
čilka	Lieto atsevišķu īslaicīgu skaņu aprakstīšanai.
dulle	Dūre.
murds	Aizsprosta zvejas rīks, ko veido pēc lamatu principa un novieto, piemēram, upē, ezerā.
gātas	Septiņpadsmit himnas, ko uzrakstījis Zaratustra, tās ir zoroastriešu svēto rakstu krājuma "Avesta" galvenā, vecākā daļa.
ķirba	Purvs, muklājs.
mulsa	Mulsums.
siras	Sirošana.
šlems	Kāršu spēlē (piem., vistā, bridžā) - visi stiķi; visi stiķi bez viena.
fokss	Fokstrots.
ģisma	Atmiņa, nojauta, jēga.
kroķe	Krīklis ("Anas crecca"); kroka 2(1).
pļeda	Govs mēslu plācenis.
cycas	Cikas.
sacra	Senā Romā publiski vai privāti upuri.
marka	Zemnieku vai pilsētas kopienas īpašums (viduslaikos Vācijā, arī dažās citās Eiropas zemēs).
tūzis	Dūzis.
bēcis	Rotaļas "piesitieni" dalībnieks, kuram pēdējam piesit un kuram savukārt jāskrien un jācenšas piesist kādam citam dalībniekam.
likme	Ar likumu noteikta algas norma par kāda darba izpildi; ar likumu noteikta maksas norma par kā lietošanu, izmantošanu.
grēds	Planka (dēlis).
žaune	Žauna.
ņjāsa	Hinduistu aizsardzības rituāls, gatavojoties sarežģītākai ceremonijai, sksuālajai maģijai un dziedniecībai.
fizča	Fizika (mācību priekšmets).
narba	Miecētas ādas gludā puse.
vērza	Gara rinda.
škūna	Šoneris.
kūris	Labības un pelavu guba, sadzīta pēc kulšanas.
nītis	Nīts.
drāne	Lakats.
parga	Paltraks.
beika	Palama vīrietim.
borta	Apģērbu apmale.
veķis	Spēcīgi sist.
krisa	Žurka.
arats	Darba zemnieks - lopkopis Mongolijā.
čorts	Velns.
šamie	Viņi.
snaps	Deguns, knābis.
gauda	Sūdzība.
nīpis	Deguns; snīpis.
urina	Urīns.
pļaks	Apraksta vienreizēju plaukšķim līdzīgu troksni.
slejš	Slīps, nolaidens.
ferma	Kopne (1).
nirga	Nirējpīle.
gnūža	Mazs knislis.
rezka	Zāles smalcināmā ierīce.
boros	Boros schneideri - Šneidera mizmīlis.
žolpa	Slikta zupa.
jaila	Ganības Krimas kalnu galvenās grēdas bezmežu platoveida kaļķakmens virsotnēs.
bakas	Pie apaļkoka piestiprināti koka balstiņi, kas neļauj troses aplim slīdēt.
laupe	Skranda, lupata.
marle	Plāns kokvilnas audums ar retiem audiem un šķēriem.
olots	Oļains.
drava	Biškopības vienība, kurā ietilpst bišu saimes, biškopības inventārs.
foršs	Skaists, glīts, iznesīgs.
norka	Ūdele.
ģilze	Smēķējamais papīrs.
pālis	Muļķis.
ģērbs	Apģērbs, tērps.
rūris	Dizentērija.
pluka	Atkārtojumā raksturo, piemēram, plandoša karoga skaņas.
sakrs	Čakls.
dorbe	Dobe.
pļoza	Nicinošs apzīmējums sievietei; pļorza.
ķerts	Divd. --> ķert.
apeks	Apekss.
joske	Ebrejs.
pinga	Raudulis.
grīņa	Īgņa, tāds, kas ar visu nemierā.
jauja	Labības žāvētava, īpaša telpa vai viendaļīga vai daudzdaļīga ēka, kurā atradās krāsns, ko izmantoja nekultās labības izžāvēšanai, radniecīga rijai.
aseņa	Dem. -> ass 1(1).
lukte	Lampa, lukturis, lāpa.
švaks	Vājš, nespēcīgs.
kalss	Kalsns.
ciāns	Bezkrāsaina, ļoti indīga gāze ar asu rūgto mandeļu aromātu; diciāns.
ķūrza	Mērce.
šnors	Šnore.
plīts	Kaļķakmens.
botas	Sporta apavi.
klēvs	Kūts (Latgalē un Augšzemē).
zalša	Parastā zalktene ("Daphne mezereum").
miška	Lācis.
verpa	Ķēvpupi.
hanna	Miežu šķirne.
dēzna	Tāds, kas ir ļoti plāns.
kriņa	Kāds, kurš ir uzbāzīgs, uzmācīgs.
tēnes	Izsitumi bērniem.
vāžas	Važas.
reņģe	Atlantijas siļķes Baltijas pasuga ("Clupea harengus membras"), zivs, kam ir līdz 25 centimetriem garš ķermenis, zilganzaļa mugura un sudrabbalti sāni.
jāšis	Jāšus, jājot.
laiga	Liegums, noliegums.
dirkš	Lieto, lai atdarinātu plīstošu drēbju troksni.
teiba	Forele.
dogma	Tēze, apgalvojums, mācība, ko pieņem par nemainīgu patiesību, nekritiski, neievērojot konkrētos apstākļus.
borgs	Bargs.
marts	Gada trešais mēnesis.
lence	Pār plecu pārliekama lentveida (apģērba) daļa (svārku, bikšu u. tml. noturēšanai).
zlūģe	Kāda nezāļu šķirne.
skēna	Arhitektonisks elements antīkajā teātrī - sākotnēji aktieru pārģērbšanās vieta, vēlāk aktieru spēles laukums.
reķis	Akmeņu skaldāmais veseris.
gūška	Gūšķis.
kudiš	Daudz.
blūms	Kvadrātveida sagatave, ko iegūst blūmingā no tērauda lietņiem.
marga	Mudžeklis.
itais	Itis.
lizda	Ligzda (1).
viela	Matērija.
ārīgs	Tāds, kas iedarbojas no ārpuses, ko lieto ārēji (par zāļu vielām).
mirts	Nāve.
garse	Podagras gārsa ("Aegopodium podagraria"); gārsa.
čolka	Neliela upīte, strauts.
nirva	Dzēriens no bērzu sulām.
ludes	Slēpes.
spura	Ūdensdzīvnieku (piemēram, zivju, abinieku, galvkāju) pārvietošanās orgāns.
asara	Asaris ("Perca fluviatilis").
glēvs	Gļēvs.
trila	Atkārtojumā izmanto kā refrēnu.
bļome	Plūme, plūmju koks.
picea	Egles.
pieta	Piets - cirvja, grābekļa, izkapts vai cita darbarīka resnais gals.
hurma	Ebenu rindas ebenu (ebenaugu) dzimtas ģints ("Diospyros"), 200-500 s., kas izplatītas gk. Āzijas dienvidos.
žovas	Žāvas.
sēsta	Sēdeklis (īpaši aužamos stāvos un laivā).
oglis	Ogle.
gaume	Skaistuma izpratne; spēja uztvert un vērtēt skaistumu.
zvaņa	Savienojumā "ne zvaņas" - "ne ziņas", arī "nekas".
kamba	Akmeņplekste, āte.
gavia	Gārgales.
čačis	Vecs vīrietis, vecs zirgs.
spējš	Tāds, kas rodas, noris pēkšņi, arī spēcīgi, strauji.
larza	Pļāpīgs, runīgs cilvēks; pļāpa.
žmega	Nūja, rīkste ar ko sist.
jonis	Laikposms, brīdis.
dedze	Izdegusi pļava vai nora.
virus	Vīruss.
grābs	Desa.
sakta	Rotas lieta (Eiropas tautām) tērpa, tā daļu saspraušanai.
reiza	Reize.
kugra	Kārpa, uzaugums uz ādas.
lotus	Vanagnadziņi.
dibas	Soļu troksnis.
uniks	Universālveikals.
līnta	Uz rija ārdiem piesērtā labība vai lini.
pekša	Kāds koka pūšamais instruments.
nieze	Īpaša sajūta, kas rada tieksmi kasīt ādu.
āksts	Cilvēks, kura amata pienākums bija uzjautrināt un izklaidēt valdnieku, augstmani un viņa viesus; nerrs.
ajuga	Cekuliņi - lūpziežu dzimts ģints.
knūja	Nūja.
gnīda	Uts oliņa.
talkš	Apvienojumā "tilkš, talkš" izmanto zvana skaņu atdarināšanai.
peāns	Šķērēm līdzīgas spailes, ar kurām aizspiež asinsvadus, piem., operējot.
dones	Iegriezumi mucas galdiņos dibena ripas iestiprināšanai.
kopus	Kopu (2).
juška	Skursteņa (retāk ventilācijas caurules) aizbīdnis.
adata	Tievs (metāla) irbulis (šūšanai), kam vienā galā ir asa smaile, bet otrā - spraudziņa pavediena ievēršanai.
ašums	Vispārināta īpašība --> ašs, šīs īpašības konkrēta izpausme.
lapša	Krimināllieta.
ucins	Auns.
tvīka	Tvīkums.
panus	Kamolenes.
iguns	Igaunis.
lieps	Liepa.
k-dze	Kundze (kopā ar uzvārdu).
ģenga	Nauda.
lezns	Lēzens.
ridze	Acs, adījumā, pinumā u. tml.
bažas	Nemiers, bailes, ko izraisa iespējama neveiksme, nelaime.
mamba	Zvīņrāpuļu kārtas čūsku apakškārtas kobru dzimtas ģints ("Dendroaspis"), 5 s., visas ļoti indīgas.
norma	Likuma formulēts noteikums, arī tradicionāli izveidojies noteikums, princips, uzskats, kas regulē cilvēku attiecības sabiedrībā.
mēsls	Vispārīgs apzīmējums kaut kā niecīga, nevajadzīga u. tml. nosaukšanai.
zinis	Savienojumos "nelikties (ne) zinis" - neinteresēties, arī nerūpēties (par kādu, par ko).
sekus	Pakaļ, pa pēdām.
sonda	Zonde.
dūlis	Mazs bērns.
karva	Melnzeme, degzeme.
parka	Virsējais (ziemeļu tautu) apģērba gabals, ko parasti šuj no briežādām ar apmatojumu uz ārpusi.
šīvis	Neliels rats ar profilētu perimetrālu rievu galiem un trosēm; paredzēts lokano saišu kustības virziena maiņai.
lokta	Lakta.
spiks	Lokana kārklu vica; stiba, nūja; makšķerkāts; spiga.
ķenka	Noplukusi ķēve.
odens	Oža.
irkns	Purvains, mukls.
tamga	Sākotnēji - piederības zīme lopu u. c. īpašuma iezīmēšanai.
ālave	Ālava 1.
griča	Grāmata.
pints	Pinte.
dievs	Pēc reliģiskiem priekšstatiem - pārdabiska augstākā būtne, kas radījusi pasauli un valda pār to.
trīna	Kāds ēveles veids.
praka	Vīriešu žakete.
klaja	Klajums, tukšums.
fikss	Ātrs.
tvins	Zīda vai vilnas audums virsdrēbēm.
šķēte	Svārku stūris, svārku apakšējā mala; šķēlums.
slita	Sastatņi baļķu uzvilkšanai.
zeile	Trose.
lenčs	Otrās brokastis - ap 11:00-12:00.
borra	Kāds, kurš murmina, neskaidri runā.
vaķis	Satīts bērns.
pince	Patukls, apaļīgs bērns.
žegus	Žagas.
posms	Atsevišķa (kā) daļa ar noteiktām īpašībām, pazīmēm.
laiva	Neliels ūdens transportlīdzeklis ar sānu malām un dibenu, parasti atklātu virsmu.
pemza	Pumeks - viegls, porains vulkānisks iezis; šāda ieža gabals.
polje	Raksturīga karsta reljefa forma, garumā stiepta atklāta iegruvas mulda, kas parasti radusies jau kalnu krokošanās laikmetā.
bulča	Smalkmaizīte.
pleza	Plezna.
ūkšis	Liela muca.
sagas	Vižņi, dibens ledus.
masta	Olekts.
ofiņš	Virsnieks.
zairs	Naudas vienība Zairas Republikā 1971.-1997. g.
stiga	Stīga.
otīts	Auss iekaisums.
zuiņa	Dem. --> zivs.
norba	Atkritumu savācējmašīna, kas noteiktā laikā pa noteiktu maršrutu izbraukā Rīgas ielas.
piece	Gabals; istaba; telpa; luga; ļaunprātīgs joks; lielgabals.
tieļa	Tiepīgs, iedomīgs cilvēks.
pīzne	Pīzda - sievišķais dzimumorgāns.
šmuga	Rīkste pēršanai.
dukha	Jēdziens budismā, kas apzīmē neapmierinātību un ciešanas; dzimšana, slimības, novecošana, nāve un atdzimšana ir nerimtīgas un nepārtrauktas "tapšanas" simptomi, kas visu esamību raksturo kā dukhu.
šļebs	Pieaudzis cilvēks, kurš uzvedas kā bērns.
baids	Priekšmets, ar ko cenšas atbaidīt (dzīvniekus); biedēklis.
radas	Dzemdības.
bergs	Bargs (par pērkonu).
rente	Kauta lopa iekšas.
šūņas	Neliels (bišu, kameņu) vaska veidojums regulāra sešskaldņa formā (medus un ziedputekšņu krāšanai, peru novietošanai).
činšs	Regulāra produktu vai naudas nodeva feodālajā Austrumeiropā, ko atkarīgie zemnieki maksāja feodālim par zemes lietošanu, Austrumlatvijā (Latgalē) ieviesās 16. gs. 2. p.; pastāvēja līdz 19. gs. v.
spurs	Spura.
ķivis	Kivi.
korčs	Krampji.
kvits	No parāda un pienākuma atbrīvots.
ilkts	Ilknis.
ņorva	Vārgulis.
stuba	Nodeldēta slota.
žaika	Vieglprātīga sieviete.
tumsa	Stāvoklis (apkaimē, telpā, vidē), kad nav gaismas, apgaismojuma vai tas ir ļoti vājš.
zūzis	Kas daudz dzer.
kaifs	Patīkamu sajūtu kopums, ko rada narkotiku, alkohola iedarbība; estētiska vai citāda bauda vai arī laiska tīksme.
šmots	Liels gabals.
jauda	Spēks, spēja (cilvēkam).
spora	Dažu augstāko augu (sūnaugu, paparžaugu) un zemāko augu (aļģu, sēņu, ķērpju) vienšūnas veidojums, ar ko tie vairojas.
vīkne	Auga stīga, vasa.
vilna	Apmatojums, ko veido smalki, bieži spirālē savīti, mati (zīdītājdzīvniekiem - aitai, kazai, kamielim u. tml.); arī no šāda apmatojuma iegūta šķiedra.
necva	Mulda; no viena koka izdobts lēzens trauks, ko lietoja, piemēram, mīklas raudzēšanai, arī bērnu mazgāšanai.
incis	Kaķis.
vamba	Liela oga (jebkura).
voļņš	Neatkarīgs; patstāvīgs.
viete	Vieta.
čusna	Tūļīgs, neveikls cilvēks.
čārpa	Baltās smilts augsne.
šļūce	Rīks, piemēram, lauka virsmas līdzināšanai, augsnes virskārtas drupināšanai.
dēkla	Papildus pievienotā dzelzs daļa, kuru pieliek nodilušiem cirvja zobiem vai nodilušiem lemešiem.
roume	Rūme, telpa.
krope	Neliels padziļinājums, sprauga.
lipsa	Glaimotāja, pļāpa.
lažņa	Guļamā lāva.
krima	Pienaine ("Lactarius").
šļaka	Cirsma, izcirtums.
tūkas	Raudzības.
aorta	Lielā asinsrites loka galvenā artērija; sākas no kreisā sirds kambara.
štūgs	Zābaku stulms.
urķis	Smails, parasti tievs, priekšmets (kā) bikstīšanai, rušināšanai u. tml.; arī kruķis (1); miets.
žļēba	Kāds, kurš zelējot ēd.
ģefka	Meitene.
ulota	Sprogaines.
ībris	Lempis.
lauks	Laukums.
kerka	Maizes uzturdeva.
mnēme	Atmiņa.
jaera	Māņēzelīšu dzimtas ģints.
romis	Rovis, aizkrāsne.
adela	Tauriņu kārtas zaigkožu dzimtas ģints.
žļeks	Raksturo kaut kā mīksta, pašķidras masas kritiena troksni.
kloks	Pulkstenis.
lytta	Eļļasvaboļu dzimtas ģints.
mappa	Ģeogrāfisko karšu apzīmējums 16.-18. gs.
smiga	Dažāda lieluma 1 vai 2 tipogrāfisko punktu biezs slēdzenis vārdu retināšanai un rindas izslēgšanai salikumā.
raiča	Raibaļas saīsināts nosaukums ar mazliet nievājošu nokrāsu.
zīmis	Vārda "zīmaļa" saīsināta forma.
firks	Zviedru vara nauda 16. 17. gs., apaļa un četršķautņaina, 1/4 ēras vērtībā, bija apgrozībā arī Baltijā.
locka	No liepas vai apses stumbra cirsta laiva.
cecas	Vecas lupatas.
kraks	Dāņu un zviedru trijmastu kuģis Baltijas jūrā.
puīne	Ārstniecības peonija ("Paeonia officinalis").
maina	Putnu klases zvirbuļveidīgo kārtas zvirbuļputnu (dziedātājputnu) apakškārtas strazdu dzimtas ģints ("Gracula").
ķusis	Spilvens sēdēšanai ratos vai ragavās.
špats	Špati - caurspīdīgi minerāli ar labu skaldnību; ietilpst vairāku minerālu nosaukumos, piem., laukšpats, Islandes špats.
būrte	Matu pīne, saite.
ūdele	Nicinoša apiešanās, dīdīšana.
nerpa	Viens no vairāku roņu sugu nosaukumiem; dzīvo Arktikā, Lādogas ezerā, Kaspijas jūrā, Baikālā un Eiropas un Tālo Austrumu piekrastes ūdeņos.
nidrs	Mitrs, nelāgs.
mahrs	Dāvana (nauda vai manta), kuru Islāmticīgs līgavainis dod līgavai, lai viņu laulība būtu likumīga.
plašs	Tāds, kura robežas atrodas tālu uz visām pusēm no tā vidus, centra (par platību); tāds, kas aptver lielu teritoriju, aizņem lielu vietu.
aupuš	No abām pusēm.
erzja	Erzji - mordviešu tautas grupas pašnosaukums.
femme	Sieviete.
torpa	Kūdra.
penga	Nauda.
glija	Nervaudu balsta struktūra, piedalās arī trofikas funkcijā.
pacta	Romiešu tiesībās vienkārši līgumi (piem., noruna par līguma slēgšanu) pretstatā kontraktiem.
toaze	Senējs franču garuma mērs = 1,949 m.
saute	Karstums, arī karsēšanās; tveice.
žeirs	Garens vai apaļš (baļļveidīgs), agrāk no resna ozola bluķa izdobts koka trauks, kuram vienā galā ietaisīts ar tapu aizbāžams caurums alus tecināšanai.
paisa	Sīknaudas vienība Nepālā un Pakistānā, attiecīgās rūpijas simtdaļa.
štuka	Lieta; gabals.
irdne	Augsne, zeme; augsnes, zemes irdenā virskārta.
ķerla	Ķelle.
šarfe	Drēbes josta ap vidu vai pār vienu plecu, arī garš un šaurs plecu lakats.
amels	Iedzimts kroplis, kam trūkst locekļu.
ērpis	Ierīce šķirošanai, sijāšanai, piemaisījumu, sēnalu atdalīšanai no graudiem, no smiltīm.
helis	Helikopters.
briks	Izsauksmes vārds asa, īslaicīga trokšņa atdarināšanai.
grape	Grope.
ķilts	Švaks, izdilis.
girla	Meitene.
žabis	Lamuvārds sliktam cillvēkam.
muris	Melns kaķis; vecs, liels runcis.
finne	Finna.
saiba	Šautrs, sprunguls.
šaize	Mēsli; netīrumi, dubļi.
tālne	Tāliene.
takča	Neliela niša, ko sienu dekorācijai lieto islāma arhitektūra visās zemēs, bet it īpaši Persijā.
bella	Skaistā.
rucis	Ruksis, cūka.
dalbs	Koka stumbrs.
runga	Resna, smaga nūja.
plapa	Platpaeglis jeb parastā īve ("Taxus baccata").
špūka	Vēja brāziens.
rutka	Rutki - pērkoņu suga ("Raphanus sativus").
movie	Kinofilma.
skose	Kosa ("Equisetum").
fīzis	Fizikas skolotājs.
dzive	Dzija.
knipa	Knipis.
buhte	Iegludināta ieloce, iegludināta vīle (parasti biksēm).
tarža	Pļāpa.
sūķis	Sūkājama konfelte uz kociņa.
kopls	Loks, varavīksne.
draka	Kautiņš, tracis.
jegas	Ķildošanās, strīdi.
čebrs	Čemurs, krūmājs.
duģis	Dogs - liels, spēcīgs suns ar īsu spalvu un strupu purnu.
dvīga	Tveice, dvinga.
unārs	Unāra operācija - algebriska operācija, ko izpilda ar vienu operandu (argumentu), piekārtojot tam rezultātu.
daika	Intrūzija - dzīsliežu ķermenis, kas veidojies, magmai piepildot Zemes garozas plaisas.
žļūga	Gāze 1.
verga	Kauslis.
tītne	Vītne.
ezīgs	Skarbs, nelaipns.
baiza	Sīknauda Omānas Sultanātā, Omānas riāla simtdaļa.
kumpa	Kūkums (mugurā); izvirzījums uz āru, izliekums (ķermeņa daļā).
dumjš	Tumša nokrāsa pie pamatkrāsas; pelēcīga nokrāsa, visbiežāk saistībā ar "bērs" (tumši brūns); duls.
puiks	Skaists, glīts.
paēne	Paēna.
kāmis	Kamene.
žvāks	Lieto, lai atdarinātu ātru kustību, skrējienu, arī kritiena, sitiena troksni.
anaša	Narkotiska viela no Indijas kaņepēm.
bidža	Kviešu miltu putra.
gaiss	Gaišs.
sīkņa	Mazi, biezi krūmi.
kolbe	Vīriešu matu sakārtojums 16. gs. 2. ceturksnī, ar vienmērīgi uz visām pusēm nosukātiem, pār pieres vidu, ausīm un pakausī līmeniski apgrieztiem matiem, pie tam parasti ar īsu, zem zoda līmeniski apgrieztu pilnbārdu.
livrs	Livra - naudas vienība Francijā (9.-18. gs.); 1 livra = 20 sū (sols).
locis	Lācis.
adoxa	Bezslavītes - divdīgļlapju klases bezslavīšu dzimtas ģints.
barža	Plakandibena kuģis kravas pārvadāšanai pa upēm, kanāliem, ezeriem un jūru slēgtā rajonā (pārvietojams ar velkoni vai pašgājējs).
stema	Aptraipījies bērns; kaut kas netīrs.
sausa	Sausās, cietās sastāvdaļas, piem., pienā, lopbarībā.
valde	Koleģiāls veidojums (vēlēts vai iecelts) organizācijas, iestādes u. tml. vadīšanai, arī administratīvs vai pašvaldības institūts.
žļaka	Neliels daudzums.
truka	Siena smalkumi, atliekas, saslaukas.
dzīda	Kārts, ar ko dzen zivis tīklā.
sešķe	Sestdienā dzimusi govs.
stuks	Gabals.
ņātre	Nātre (Urtica).
špēle	Neliela, tieva koka tapa apavu zoles piestiprināšanai.
herma	Apakšgalā sašaurināts četršķautņu stabs, uz kura novietots sengrieķu dieva Hermesa galvas skulpturāls attēls.
aoids	Sengrieķu dziesminieks pirmsklasiskajā laikmetā.
bloza	Bloze.
selje	Dubļu vai dubļu un akmeņu plūsma, kas pēkšņi rodas kalnu upju gultnēs krasu uzplūdienu, piemēram, sniega kušanas laikā.
lāpsa	Vieta, laukums.
monas	Monas 1.
išans	Musulmaņu mūku skolotājs un vadītājs.
lauča	Lauce.
tonus	Miesas orgānu un audu normālais stāvoklis, viņu spraigums.
trīas	Triass.
vaksa	Apavu ziede.
meles	Sermuļu dzimtas ģints.
lonta	No liniem nogriezta saite; vecs virves gabals.
abaks	Vertikāla balsta vainagojuma (kapiteļa) augšējā daļa, parasti četrstūraina plāksne.
sāris	Sala.
ļaika	Maza piltuve.
kokča	Kokteilis.
repes	Pumpas (kokam).
glēms	Lēns darbā un ēdot.
ledra	Linoleja atvietotājs, gatavots no šķiedrotas izejvielas ar vai bez audekla ielikuma pārklājota ar firnisiem, lakām vai krāsām.
kurme	Kurmis.
čefka	Smeļamais spainītis ar garu kātu; virloks.
vabda	Vaba - miets (viens no daudziem) žāvējamo zvejas tīklu uzkāršanai.
ābuls	Ābols.
lejie	Kaimiņi, kas dzīvo mājās, kuras atrodas zemākā vietā; lejijie.
kurķe	Tītara mātīte.
ģīlis	Vājš, kalsns cilvēks; vārgulis.
pļakš	Pļaks.
marss	Platforma starp burukuģa mastu un masta pagarinājumu; izmanto stāvošās takelāžas nostiprināšanai, darbam ar burām, novērošanai, ko veic sardzes matrozis.
stags	Kaut kas blīvs, ciets.
bikts	Grēksūdze, kristiešu (piemēram, pareizticīgo un katoļu) sakraments rituālās tīrības atjaunošanai.
gloms	Gluds, slidens, glums.
peins	Jauks, skaists.
daiņa	Savā daiņā - savā nodabā.
plēka	Pleika.
biksa	Meitene.
birga	Tīruma birze.
dagls	Baltraibs vai melnraibs (parasti par cūku, arī suni).
ēslis	Tāds, kas pastāvīgi ko košļā, gremo.
ārsēš	Ārpus, sāņus.
rosts	Riests.
uluss	Klejotāju apmetne; jurtu, kibitku nometne; auls, apdzīvota vieta, ciems; rajons.
krahs	Pilnīga neveiksme, bojāeja.
cassa	Kase.
