dowve	A dove.
javel	A vagabond.
lucid	Shining; bright; resplendent; as, the lucid orbs of heaven.
split	A crack, rent, or longitudinal fissure.
seine	A large net, one edge of which is provided with sinkers, and the other with floats. It hangs vertically in the water, and when its ends are brought together or drawn ashore incloses the fish.
topaz	A mineral occurring in rhombic prisms, generally yellowish and pellucid, also colorless, and of greenesh, bluish, or brownish shades. It sometimes occurs massive and opaque. It is a fluosilicate of alumina, and is used as a gem.
cheap	Having a low price in market; of small cost or price, as compared with the usual price or the real value.
crier	an officer who proclaims the orders or directions of a court, or who gives public notice by loud proclamation; as, a town-crier.
kapok	A silky wool derived from the seeds of Ceiba pentandra (syn. Eriodendron anfractuosum), a bombaceous tree of the East and West Indies.
azure	The lapis lazuli.
golet	A California trout. See Malma.
craft	Strength; might; secret power.
eggar	Any bombycid moth of the genera Eriogaster and Lasiocampa; as, the oak eggar (L. roboris) of Europe.
ergon	same as Erg.
envoy	One dispatched upon an errand or mission; a messenger; esp., a person deputed by a sovereign or a government to negotiate a treaty, or transact other business, with a foreign sovereign or government; a minister accredited to a foreign government. An envoy's rank is below that of an ambassador.
lindy	an energetic American dance that was popular in the 1930s (probably named for the aviator Charles Lindbergh).
looch	See 2d Loch.
aruru	mother and earth goddess in Gilgamish epic; identified with Sumerian Ki and Ninkhursag (Mama; Nintu).
burro	A donkey.
rowel	The little wheel of a spur, with sharp points.
chess	A species of brome grass (Bromus secalinus) which is a troublesome weed in wheat fields, and is often erroneously regarded as degenerate or changed wheat; it bears a very slight resemblance to oats, and if reaped and ground up with wheat, so as to be used for food, is said to produce narcotic effects; -- called also cheat and Willard's bromus.
croys	See Cross, n.
tafia	A variety of rum.
ampyx	A woman's headband (sometimes of metal), for binding the front hair.
boort	See Bort.
queen	The wife of a king.
tumor	A morbid swelling, prominence, or growth, on any part of the body; especially, a growth produced by deposition of new tissue; a neoplasm.
knurl	A contorted knot in wood; a crossgrained protuberance; a nodule; a boss or projection.
miaul	The crying of a cat.
panne	A fabric resembling velvet, but having the nap flat and less close.
soken	A toll. See Soc, n., 2.
spoon	An implement consisting of a small bowl (usually a shallow oval) with a handle, used especially in preparing or eating food.
clone	a group of organisms derived from a single individual by some kind of asexual reproduction; -- used mostly of microorganisms such as bacteria and yeast.
prick	To pierce slightly with a sharp-pointed instrument or substance; to make a puncture in, or to make by puncturing; to drive a fine point into; as, to prick one with a pin, needle, etc.; to prick a card; to prick holes in paper.
elemi	A fragrant gum resin obtained chiefly from tropical trees of the genera Amyris and Canarium. Amyris elemifera yields Mexican elemi; Canarium commune, the Manila elemi. It is used in the manufacture of varnishes, also in ointments and plasters.
fluke	The part of an anchor which fastens in the ground; a flook. See Anchor.
label	A tassel.
moril	An edible fungus. Same as 1st Morel.
snake	Any species of the order Ophidia; an ophidian; a serpent, whether harmless or venomous. See Ophidia, and Serpent.
begin	Beginning.
daint	Dainty.
diana	The daughter of Jupiter and Latona; a virgin goddess who presided over hunting, chastity, and marriage; -- identified with the Greek goddess Artemis.
lowan	The Australian moundbird (Leipoa ocellata); it incubates eggs naturally in sandy mounds.
swell	The act of swelling.
arbor	A tree, as distinguished from a shrub.
bunco	see bunko.
shaft	The slender, smooth stem of an arrow; hence, an arrow.
tinge	A degree, usually a slight degree, of some color, taste, or something foreign, infused into another substance or mixture, or added to it; tincture; color; dye; hue; shade; taste.
volap	One who is conversant with, or who favors adoption of, Volap<uum/k.
crisp	That which is crisp or brittle; the state of being crisp or brittle; as, burned to a crisp; specifically, the rind of roasted pork; crackling.
choke	A stoppage or irritation of the windpipe, producing the feeling of strangulation.
stray	Any domestic animal that has an inclosure, or its proper place and company, and wanders at large, or is lost; an estray.  Used also figuratively.
cadis	A kind of coarse serge.
minor	A person of either sex who has not attained the age at which full civil rights are accorded; an infant; in England and the United States, one under twenty-one years of age.
swift	The current of a stream.
oliva	A genus of polished marine gastropod shells, chiefly tropical, and often beautifully colored.
shrag	A twig of a tree cut off.
liard	A French copper coin of one fourth the value of a sou.
rille	One of certain narrow, crooked valleys seen, by aid of the telescope, on the surface of the moon.
steer	A helmsman; a pilot.
stile	A step, or set of steps, for ascending and descending, in passing a fence or wall.
adult	A person, animal, or plant grown to full size and strength; one who has reached maturity.
brock	A brocket.
lower	Cloudiness; gloominess.
mawks	A slattern; a mawk.
verve	Excitement of imagination such as animates a poet, artist, or musician, in composing or performing; rapture; enthusiasm; spirit; energy.
asper	A Turkish money of account (formerly a coin), of little value; the 120th part of a piaster.
corgi	either of two Welsh breeds of long-bodied short-legged dogs with erect ears and a foxlike head.
nomad	One of a race or tribe that has no fixed location, but wanders from place to place in search of pasture or game.
oaker	See Ocher.
punto	A point or hit.
bleat	A plaintive cry of, or like that of, a sheep.
hosen	See Hose.
mores	Customs; habits; esp., moral customs conformity to which is more or less obligatory; customary law.
motet	A composition adapted to sacred words in the elaborate polyphonic church style; an anthem.
party	A part or portion.
feuar	One who holds a feu.
lathe	A granary; a barn.
jacob	A Hebrew patriarch (son of Isaac, and ancestor of the Jews), who in a vision saw a ladder reaching up to heaven (Gen. xxviii. 12); -- also called Israel.
shade	To undergo or exhibit minute difference or variation, as of color, meaning, expression, etc.; to pass by slight changes; -- used chiefly with a preposition, as into, away, off.
bowls	See Bowl, a ball, a game.
elsin	A shoemaker's awl.
lapis	A stone.
scrub	One who labors hard and lives meanly; a mean fellow.
bijou	A trinket; a jewel; -- a word applied to anything small and of elegant workmanship.
educt	That which is educed, as by analysis.
china	A country in Eastern Asia.
miasm	Miasma.
ephod	A part of the sacerdotal habit among Jews, being a covering for the back and breast, held together on the shoulders by two clasps or brooches of onyx stones set in gold, and fastened by a girdle of the same stuff as the ephod. The ephod for the priests was of plain linen; that for the high priest was richly embroidered in colors. The breastplate of the high priest was worn upon the ephod in front.
eight	The number greater by a unit than seven; eight units or objects.
radii	pl. of Radius.
talus	A slope; the inclination of the face of a work.
taper	A small wax candle; a small lighted wax candle; hence, a small light.
theft	The act of stealing; specifically, the felonious taking and removing of personal property, with an intent to deprive the rightful owner of the same; larceny.
auden	An English poet in the U. S.   Born 1907, died 1973.
erica	A genus of shrubby plants, including the heaths, many of them producing beautiful flowers.
tabes	Progressive emaciation of the body, accompanied with hectic fever, with no well-marked local symptoms.
tilde	The accentual mark placed over n, and sometimes over l, in Spanish words [thus, <ntil/, <ltil/], indicating that, in pronunciation, the sound of the following vowel is to be preceded by that of the initial, or consonantal, y.
stout	A strong, dark malt brew having a higher percentage of hops than porter; strong porter; a popular variety sold in the U. S. is Guinness' stout.
tyger	A tiger.
hythe	A small haven. See Hithe.
loads	A large quantity; a lot; as, loads of fun.
queer	Counterfeit money.
dolus	Evil intent, embracing both malice and fraud. See Culpa.
gurts	Groats.
eater	One who, or that which, eats.
radix	A primitive word, from which spring other words; a radical; a root; an etymon.
chaos	An empty, immeasurable space; a yawning chasm.
croat	A native or resident of Croatia.
spear	A long, pointed weapon, used in war and hunting, by thrusting or throwing; a weapon with a long shaft and a sharp head or blade; a lance.
pulas	The East Indian leguminous tree Butea frondosa. See Gum Butea, under Gum.
sebat	The eleventh month of the ancient Hebrew year, approximately corresponding with February.
scena	An accompanied dramatic recitative, interspersed with passages of melody, or followed by a full aria.
dagga	a relatively nontoxic South African herb (Leonotis leonurus) smoked like tobacco.
joram	See Jorum.
gleed	A live or glowing coal; a glede.
bodge	A botch; a patch.
chace	See 3d Chase, n., 3.
teens	The years of one's age having the termination -teen, beginning with thirteen and ending with nineteen; as, a girl in her teens.
xenon	A very heavy, inert gaseous element of the noble gas group, occurring in the atmosphere in the proportion of one volume is about 20 millions.  It was discovered by Ramsay and Travers in 1898.  It can be condensed to a liquid boiling at -107<deg/ C., and to a solid which melts at -111.9<deg/ C.  Symbol Xe (formerly also X); atomic number 54; atomic weight 131.3.
cader	See Cadre.
secre	A secret.
krems	A variety of white lead. See Krems lead, under Lead, n.
morwe	See Morrow.
pilon	A conical loaf of sugar.
zohar	A Jewish cabalistic book attributed by tradition to Rabbi Simon ben Yochi, who lived about the end of the 1st century, a. d.  Modern critics believe it to be a compilation of the 13th century.
bitts	A frame of two strong timbers fixed perpendicularly in the fore part of a ship, on which to fasten the cables as the ship rides at anchor, or in warping. Other bitts are used for belaying (belaying bitts), for sustaining the windlass (carrick bitts, winch bitts, or windlass bitts), to hold the pawls of the windlass (pawl bitts) etc.
flora	The goddess of flowers and spring.
batta	Rate of exchange; also, the discount on uncurrent coins.
dorky	stupid, socially inept, unfashionable, or ridiculous; -- always used disparagingly.
gerea	A small genus of hairy herbs with yellow flowers.
penis	The erectile external sexual organ of males, used in copulation, and in mammals, also for urination.
roach	The redfin, or shiner.
tryst	Trust.
aloin	A bitter purgative principle in aloes.
bungo	A kind of canoe used in Central and South America; also, a kind of boat used in the Southern United States.
marai	A sacred inclosure or temple; -- so called by the islanders of the Pacific Ocean.
param	A white crystalline nitrogenous substance (C2H4N4); -- called also dicyandiamide.
booly	A company of Irish herdsmen, or a single herdsman, wandering from place to place with flocks and herds, and living on their milk, like the Tartars; also, a place in the mountain pastures inclosed for the shelter of cattle or their keepers.
leave	Liberty granted by which restraint or illegality is removed; permission; allowance; license.
mauve	A color of a delicate purple, violet, or lilac.
third	The quotient of a unit divided by three; one of three equal parts into which anything is divided.
coque	A small loop or bow of ribbon used in making hats, boas, etc.
cyder	See Cider.
larve	A larva.
sagum	The military cloak of the Roman soldiers.
brood	The young birds hatched at one time; a hatch; as, a brood of chickens.
gumbo	A thick stew made with chicken (chicken gumbo), or seafood (seafood gumbo), thickened with okra or file, and also containing greens and often hot spices; it is particularly popular in Louisiana.
sizel	Same as Scissel, 2.
conte	A short narrative or tale, esp. one dealing with surprising or marvelous events.
rampe	The cuckoopint.
junto	A secret council to deliberate on affairs of government or politics; a number of men combined for party intrigue; a faction; a cabal; as, a junto of ministers; a junto of politicians.
chart	A sheet of paper, pasteboard, or the like, on which information is exhibited, esp. when the information is arranged in tabular form; as, an historical chart.
ditto	The aforesaid thing; the same (as before). Often contracted to do., or to two <ldquo/turned commas<rdquo/ (<rdquo/), or small marks.  Used in bills, books of account, tables of names, etc., to save repetition.
totem	A rude picture, as of a bird, beast, or the like, used by the North American Indians as a symbolic designation, as of a family or a clan; also, the object or animal itself, considered as an symbol of the family.
smolt	A young salmon two or three years old, when it has acquired its silvery color.
spile	A small plug or wooden pin, used to stop a vent, as in a cask.
slang	Low, vulgar, unauthorized language; a popular but unauthorized word, phrase, or mode of expression; also, the jargon of some particular calling or class in society; low popular cant; as, the slang of the theater, of college, of sailors, etc.
doupe	The carrion crow.
morel	Nightshade; -- so called from its blackish purple berries.
spray	Water flying in small drops or particles, as by the force of wind, or the dashing of waves, or from a waterfall, and the like.
liman	The deposit of slime at the mouth of a river; slime.
night	That part of the natural day when the sun is beneath the horizon, or the time from sunset to sunrise; esp., the time between dusk and dawn, when there is no light of the sun, but only moonlight, starlight, or artificial light.
spelt	Spelter.
babel	The city and tower in the land of Shinar, where the confusion of languages took place.
koran	The Scriptures of the Muslims, containing the professed revelations to Mohammed; -- called also Alcoran.
fluor	A fluid state.
tatta	A bamboo frame or trellis hung at a door or window of a house, over which water is suffered to trickle, in order to moisten and cool the air as it enters.
macle	A twin crystal.
snath	The handle of a scythe; a snead.
targe	A shield or target.
voyol	The block through which a messenger passes.
bower	A young hawk, when it begins to leave the nest.
flute	A kind of flyboat; a storeship.
throb	A beat, or strong pulsation, as of the heart and arteries; a violent beating; a papitation:
caxon	A kind of wig.
lakin	See Ladykin.
tenno	Lit., King of Heaven; -- a title of the emperor of Japan as the head of the Shinto religion.
tarsi	pl. of Tarsus.
cryer	The female of the hawk; a falcon-gentil.
letch	Strong desire; passion; especially, lust.
moton	A small plate covering the armpit in armor of the 14th century and later.
outer	One who puts out, ousts, or expels; also, an ouster; dispossession.
prodd	A crossbow. See Prod, 3.
alfet	A caldron of boiling water into which an accused person plunged his forearm as a test of innocence or guilt.
brook	A natural stream of water smaller than a river or creek.
clank	A sharp, brief, ringing sound, made by a collision of metallic or other sonorous bodies; -- usually expressing a duller or less resounding sound than clang, and a deeper and stronger sound than clink.
lobby	A passage or hall of communication, especially when large enough to serve also as a waiting room. It differs from an antechamber in that a lobby communicates between several rooms, an antechamber to one only; but this distinction is not carefully preserved.
abysm	An abyss; a gulf.
condo	one of the units in a condominium.
eagre	A wave, or two or three successive waves, of great height and violence, at flood tide moving up an estuary or river; -- commonly called the bore or tidal bore. See Bore.
goter	A gutter.
stian	A sty on the eye. See Styan.
clove	One of the small bulbs developed in the axils of the scales of a large bulb, as in the case of garlic.
deuce	The devil; a demon.
blush	A suffusion of the cheeks or face with red, as from a sense of shame, confusion, or modesty.
bibbs	Pieces of timber bolted to certain parts of a mast to support the trestletrees.
wekau	A small New Zealand owl (Sceloglaux albifacies). It has short wings and long legs, and lives chiefly on the ground.
picts	A race of people of uncertain origin, who inhabited Scotland in early times.
widdy	A rope or halter made of flexible twigs, or withes, as of birch.
music	The science and the art of tones, or musical sounds, i. e., sounds of higher or lower pitch, begotten of uniform and synchronous vibrations, as of a string at various degrees of tension; the science of harmonical tones which treats of the principles of harmony, or the properties, dependences, and relations of tones to each other; the art of combining tones in a manner to please the ear.
saver	One who saves.
bacon	The back and sides of a pig salted and smoked; formerly, the flesh of a pig salted or fresh.
hatch	A door with an opening over it; a half door, sometimes set with spikes on the upper edge.
loose	Freedom from restraint.
finis	An end; conclusion. It is often placed at the end of a book.
malma	A spotted trout (Salvelinus malma), inhabiting Northern America, west of the Rocky Mountains; -- called also Dolly Varden trout, bull trout, red-spotted trout, and golet.
pewet	Same as Pewit.
siser	Cider. See Sicer.
stent	An allotted portion; a stint.
virtu	A love of the fine arts; a taste for curiosities.
alure	A walk or passage; -- applied to passages of various kinds.
boson	See Boatswain.
manul	A wild cat (Felis manul), having long, soft, light-colored fur.  It is found in the mountains of Central Asia, and dwells among rocks.
maize	A large species of American grass of the genus Zea (Zea Mays), widely cultivated as a forage and food plant; Indian corn, commonly called corn.  Also, its seed, growing on cobs, and used as food for men and animals.
smash	A breaking or dashing to pieces; utter destruction; wreck.
cisco	The Lake herring (Coregonus Artedi), valuable food fish of the Great Lakes of North America. The name is also applied to Coregonus Hoyi, a related species of Lake Michigan.
irish	The natives or inhabitants of Ireland, esp. the Celtic natives or their descendants.
perca	A genus of fishes, including the fresh-water perch.
grape	A well-known edible berry growing in pendent clusters or bunches on the grapevine. The berries are smooth-skinned, have a juicy pulp, and are cultivated in great quantities for table use and for making wine and raisins.
maian	Any spider crab of the genus Maia, or family Maiadae.
eurus	The east wind.
reins	The kidneys; also, the region of the kidneys; the loins.
dogey	a motherless calf in a range herd of cattle.
deray	Disorder; merriment.
sasin	The Indian antelope (Antilope bezoartica syn.  Antilope cervicapra), noted for its beauty and swiftness. It has long, spiral, divergent horns.
wreak	Revenge; vengeance; furious passion; resentment.
fogey	See Fogy.
fuzee	a friction match with a large head that will stay alight in the wind.
galbe	The general outward form of any solid object, as of a column or a vase.
ready	Ready money; cash; -- commonly with the; as, he was well supplied with the ready.
apsis	One of the two points of an orbit, as of a planet or satellite, which are at the greatest and least distance from the central body, corresponding to the aphelion and perihelion of a planet, or to the apogee and perigee of the moon. The more distant is called the higher apsis; the other, the lower apsis; and the line joining them, the line of apsides.
boule	A legislative council of elders or chiefs; a senate.
gibel	A kind of carp (Cyprinus gibelio); -- called also Prussian carp.
noyls	See Noils.
dosel	Same as Dorsal, n.
etude	A composition in the fine arts which is intended, or may serve, for a study.
liege	A free and independent person; specif., a lord paramount; a sovereign.
saint	A person sanctified; a holy or godly person; one eminent for piety and virtue; any true Christian, as being redeemed and consecrated to God.
xylyl	Any one of three metameric radicals which are characteristic respectively of the three xylenes.
broth	Liquid in which flesh (and sometimes other substances, as barley or rice) has been boiled; thin or simple soup.
blend	A thorough mixture of one thing with another, as color, tint, etc., into another, so that it cannot be known where one ends or the other begins.
palet	Same as Palea.
duchy	The territory or dominions of a duke; a dukedom.
flail	An instrument for threshing or beating grain from the ear by hand, consisting of a wooden staff or handle, at the end of which a stouter and shorter pole or club, called a swipe, is so hung as to swing freely.
moory	A kind of blue cloth made in India.
ryder	A clause added to a document; a rider. See Rider.
tofus	Tophus.
chops	The jaws; also, the fleshy parts about the mouth.
crack	A partial separation of parts, with or without a perceptible opening; a chink or fissure; a narrow breach; a crevice; as, a crack in timber, or in a wall, or in glass.
nitre	See Niter.
tucan	The Mexican pocket gopher (Geomys Mexicanus). It resembles the common pocket gopher of the Western United States, but is larger. Called also tugan, and tuza.
alloy	To reduce the purity of by mixing with a less valuable substance; as, to alloy gold with silver or copper, or silver with copper.
clamp	A heavy footstep; a tramp.
deloo	The duykerbok.
front	The forehead or brow, the part of the face above the eyes; sometimes, also, the whole face.
goods	See Good, n., 3.
pacer	One who, or that which, paces.
adobe	An unburnt brick dried in the sun; also used as an adjective, as, an adobe house, in Texas or New Mexico.
corse	A living body or its bulk.
chafe	Heat excited by friction.
rubus	A genus of rosaceous plants, including the raspberry and blackberry.
avant	The front of an army. [Obs.] See Van.
attar	A fragrant essential oil; esp., a volatile and highly fragrant essential oil obtained from the petals of roses.
shaik	See Sheik.
zoism	Reverence for animal life or belief in animal powers and influences, as among savages.
crees	An Algonquin tribe of Indians, inhabiting a large part of British America east of the Rocky Mountains and south of Hudson's Bay.
corps	The human body, whether living or dead.
lyric	A lyric poem; a lyrical composition.
canid	any doglike animal of the family canidae.
credo	The creed, as sung or read in the Roman Catholic church.
bunko	A kind of swindling game or scheme, originally by means of cards or by a sham lottery, but now used for any swindling tactic.
bocca	The round hole in the furnace of a glass manufactory through which the fused glass is taken out.
trade	A track; a trail; a way; a path; also, passage; travel; resort.
tourn	A spinning wheel.
arhat	a Buddhist who has attained nirvana.
buyer	One who buys; a purchaser.
spike	Spike lavender. See Lavender.
ulmus	A genus of trees including the elm.
brink	The edge, margin, or border of a steep place, as of a precipice; a bank or edge, as of a river or pit; a verge; a border; as, the brink of a chasm. Also Fig.
frons	The forehead; the part of the cranium between the orbits and the vertex.
oelet	An eye, bud, or shoot, as of a plant; an oilet.
drink	Liquid to be swallowed; any fluid to be taken into the stomach for quenching thirst or for other purposes, as water, coffee, or decoctions.
kalpa	One of the Brahmanic eons, a period of 4,320,000,000 years. At the end of each Kalpa the world is annihilated.
lakao	Sap green.
mange	The scab or itch in cattle, dogs, and other beasts.
thigh	The proximal segment of the hind limb between the knee and the trunk. See Femur.
ulmin	A brown amorphous substance found in decaying vegetation.  Cf. Humin.
bilbo	A rapier; a sword; so named from Bilbao, in Spain.
chaja	The crested screamer of Brazil (Palamedea chavaria syn. Chauna chavaria), so called in imitation of its notes; -- called also chauna, and faithful kamichi. It is often domesticated and is useful in guarding other poultry. See Kamichi.
moyle	See Moil, and Moile.
finch	A small singing bird of many genera and species, belonging to the family Fringillid<ae/.
horse	A hoofed quadruped of the genus Equus; especially, the domestic horse (Equus caballus), which was domesticated in Egypt and Asia at a very early period.  It has six broad molars, on each side of each jaw, with six incisors, and two canine teeth, both above and below. The mares usually have the canine teeth rudimentary or wanting. The horse differs from the true asses, in having a long, flowing mane, and the tail bushy to the base. Unlike the asses it has callosities, or chestnuts, on all its legs. The horse excels in strength, speed, docility, courage, and nobleness of character, and is used for drawing, carrying, bearing a rider, and like purposes.
moron	An inferior olive size having a woody pulp and a large clingstone pit, growing in the mountainous and high-valley districts around the city of Moron, in Spain.
meute	A cage for hawks; a mew. See 4th Mew, 1.
noose	A running knot, or loop, which binds the closer the more it is drawn.
plebe	The common people; the mob.
quice	See Queest.
silva	A description or history of the forest trees of a country.
dryas	A dryad.
flume	A stream; especially, a passage channel, or conduit for the water that drives a mill wheel; or an artifical channel of water for hydraulic or placer mining; also, a chute for conveying logs or lumber down a declivity.
sprat	A California surf-fish (Rhacochilus toxotes); -- called also alfione, and perch.
houri	A nymph of paradise; -- so called by the Muslims.
hymen	A fabulous deity; according to some, the son of Apollo and Urania, according to others, of Bacchus and Venus. He was the god of marriage, and presided over nuptial solemnities.
lyrie	A European fish (Peristethus cataphractum), having the body covered with bony plates, and having three spines projecting in front of the nose; -- called also noble, pluck, pogge, sea poacher, and armed bullhead.
burel	Same as Borrel.
cease	Extinction.
shove	The act of shoving; a forcible push.
tarot	A game of cards; -- called also taroc.
pelta	A small shield, especially one of an approximately elliptic form, or crescent-shaped.
pardo	A money of account once used in in Goa, India, equivalent to about 2s. 6d. sterling. or 60 cts. (in 1913).
bribe	A gift begged; a present.
gable	A decorative member having the shape of a triangular gable, such as that above a Gothic arch in a doorway.
paver	One who paves; one who lays a pavement.
tinct	Color; tinge; tincture; tint.
ultra	One who advocates extreme measures; an ultraist; an extremist; a radical.
gride	A harsh scraping or cutting; a grating.
gigue	A piece of lively dance music, in two strains which are repeated; also, the dance.
hindu	Same as Hindoo.  This is now the more commonly used spelling.
sabre	See Saber.
slish	A cut; as, slish and slash.
trass	A white to gray volcanic tufa, formed of decomposed trachytic cinders; -- sometimes used as a cement. Hence, a coarse sort of plaster or mortar, durable in water, and used to line cisterns and other reservoirs of water.
cypre	a large tropical American tree (Cordia alliodora) grown for its abundant creamy white flowers and valuable wood.
gorce	A pool of water to keep fish in; a wear.
throp	A thorp.
toddy	A juice drawn from various kinds of palms in the East Indies; or, a spirituous liquor procured from it by fermentation.
snore	A harsh nasal noise made in sleep.
divot	A thin, oblong turf used for covering cottages, and also for fuel.
herne	A corner.
mixen	A compost heap; a dunghill.
botts	See Bots.
closh	The game of ninepins.
funka	A genus of robust East Asian clump-forming perennial herbs having racemose flowers: plantain lilies; sometimes placed in the family Hostaceae.
boots	A servant at a hotel or elsewhere, who cleans and blacks the boots and shoes.
ferry	A place where persons or things are carried across a river, arm of the sea, etc., in a ferryboat.
shrew	Originally, a brawling, turbulent, vexatious person of either sex, but now restricted in use to females; a brawler; a scold.
spurn	A kick; a blow with the foot.
savor	To have a particular smell or taste; -- with of.
sully	Soil; tarnish; stain.
madam	A gentlewoman; -- an appellation or courteous form of address given to a lady, especially an elderly or a married lady; -- much used in the address, at the beginning of a letter, to a woman. The corresponding word in addressing a man is Sir; often abbreviated ma'am when used as a term of address.
posse	See Posse comitatus.
herma	See Hermes, 2.
hypha	any of the threadlike filaments forming the mycelium of a fungus.  See hyphae.
bully	A noisy, blustering fellow, more insolent than courageous, who threatens, intimidates, or badgers people who are smaller or weaker than he is; an insolent, tyrannical fellow.
bonce	A boy's game played with large marbles.
glide	The act or manner of moving smoothly, swiftly, and without labor or obstruction.
treat	A parley; a conference.
basil	The skin of a sheep tanned with bark.
cloak	A loose outer garment, extending from the neck downwards, and commonly without sleeves. It is longer than a cape, and is worn both by men and by women.
hobby	A small, strong-winged European falcon (Falco subbuteo), formerly trained for hawking.
inlay	Matter or pieces of wood, ivory, etc., inlaid, or prepared for inlaying; that which is inserted or inlaid for ornament or variety; as, ornamented with ivory inlay.
loach	Any one of several small, fresh-water, cyprinoid fishes of the genera Cobitis, Nemachilus, and allied genera, having six or more barbules around the mouth. They are found in Europe and Asia. The common European species (Nemachilus barbatulus) is used as a food fish.
route	The course or way which is traveled or passed, or is to be passed; a passing; a course; a road or path; a march.
secle	A century.
sarse	A fine sieve; a searce.
camel	A large ruminant used in Asia and Africa for carrying burdens and for riding.  The camel is remarkable for its ability to go a long time without drinking.  Its hoofs are small, and situated at the extremities of the toes, and the weight of the animal rests on the callous. The dromedary (Camelus dromedarius) has one hump on the back, while the Bactrian camel (Camelus Bactrianus) has two.  The llama, alpaca, and vicu<ntil/a, of South America, belong to a related genus (Auchenia).
derma	See Dermis.
teyne	A thin plate of metal.
yapon	Same as Yaupon.
paise	See Poise.
ramus	A branch; a projecting part or prominent process; a ramification.
odeum	See Odeon.
pomey	A figure supposed to resemble an apple; a roundel, -- always of a green color.
leppy	A motherless calf in a range herd of cattle.
doree	A European marine fish (Zeus faber), of a yellow color. See Illust. of John Doree.
guile	To disguise or conceal; to deceive or delude.
ingle	A paramour; a favourite; a sweetheart; an engle.
loper	One who, or that which, lopes; esp., a horse that lopes.
creat	An usher to a riding master.
inset	That which is inserted or set in; an insertion.
print	A mark made by impression; a line, character, figure, or indentation, made by the pressure of one thing on another; as, the print of teeth or nails in flesh; the print of the foot in sand or snow.
rheae	A suborder of struthious birds including the rheas.
topet	The European crested titmouse.
frett	A vitreous compound, used by potters in glazing, consisting of lime, silica, borax, lead, and soda.
heald	A heddle.
ratan	See Rattan.
tenon	A projecting member left by cutting away the wood around it, and made to insert into a mortise, and in this way secure together the parts of a frame; especially, such a member when it passes entirely through the thickness of the piece in which the mortise is cut, and shows on the other side.  Cf. Tooth, Tusk.
sambo	A colloquial or humorous appellation for a negro; sometimes, the offspring of a black person and a mulatto; a zambo.
bulau	An East Indian insectivorous mammal (Gymnura Rafflesii), somewhat like a rat in appearance, but allied to the hedgehog.
fenks	The refuse whale blubber, used as a manure, and in the manufacture of Prussian blue.
logic	The science or art of exact reasoning, or of pure and formal thought, or of the laws according to which the processes of pure thinking should be conducted; the science of the formation and application of general notions; the science of generalization, judgment, classification, reasoning, and systematic arrangement; the science of correct reasoning.
phial	A glass vessel or bottle, especially a small bottle for medicines; a vial.
sheaf	A quantity of the stalks and ears of wheat, rye, or other grain, bound together; a bundle of grain or straw.
texas	A structure on the hurricane deck of a steamer, containing the pilot house, officers' cabins, etc.
adage	An old saying, which has obtained credit by long use; a proverb.
bandy	A club bent at the lower part for striking a ball at play; a hockey stick.
cycas	A genus of trees, intermediate in character between the palms and the pines. The pith of the trunk of some species furnishes a valuable kind of sago.
found	A thin, single-cut file for combmakers.
skunk	Any one of several species of American musteline carnivores of the genus Mephitis and allied genera. They have two glands near the anus, secreting an extremely fetid liquid, which the animal ejects at pleasure as a means of defense.
bouri	A mullet (Mugil capito) found in the rivers of Southern Europe and in Africa.
chear	See Cheer.
hoker	Scorn; derision; abusive talk.
tweak	A sharp pinch or jerk; a twist or twitch; as, a tweak of the nose.
sheol	The place of departed spirits; Hades; also, the grave.
frush	The frog of a horse's foot.
izard	A variety of the chamois found in the Pyrenees.
shama	A saxicoline singing bird (Kittacincla macroura) of India, noted for the sweetness and power of its song. In confinement it imitates the notes of other birds and various animals with accuracy. Its head, neck, back, breast, and tail are glossy black, the rump white, the under parts chestnut.
tairn	See Tarn.
ascot	a cravat with wide square ends, tied so that the ends are laid flat; the ends are often secured with an ornamental pin; -- called cravat in Britain.
caret	The hawkbill turtle. See Hawkbill.
foxes	See Fox, n., 7.
grass	Popularly: Herbage; the plants which constitute the food of cattle and other beasts; pasture.
skirl	A shrill cry or sound.
regma	A kind of dry fruit, consisting of three or more cells, each which at length breaks open at the inner angle.
alula	A false or bastard wing. See under Bastard.
frown	A wrinkling of the face in displeasure, rebuke, etc.; a sour, severe, or stern look; a scowl.
panic	A sudden, overpowering fright; esp., a sudden and groundless fright; terror inspired by a trifling cause or a misapprehension of danger; as, the troops were seized with a panic; they fled in a panic.
playa	A beach; a strand; in the plains and deserts of Texas, New Mexico, and Arizona, a broad, level spot, on which subsequently becomes dry by evaporation.
blini	Russian pancakes of buckwheat flour and yeast, sometimes made from white flour; they are usually served folded over, with caviar and sour cream on the inside; -- properly, it is a plural word (from the Russian plural of blin) but in America, often used as singular; thus the common plural blinis.
bobac	The Poland marmot (Arctomys bobac).
camis	A light, loose dress or robe.
cloke	See Cloak.
heyne	A wretch; a rascal.
creed	A definite summary of what is believed; esp., a summary of the articles of Christian faith; a confession of faith for public use; esp., one which is brief and comprehensive.
cruor	The coloring matter of the blood; the clotted portion of coagulated blood, containing the coloring matter; gore.
crems	See Krems.
squid	Any one of numerous species of ten-armed cephalopods having a long, tapered body, and a caudal fin on each side; especially, any species of Loligo, Ommastrephes, and related genera. See Calamary, Decacerata, Dibranchiata.
pluma	A feather.
